,Dim1-1,Dim1-2,Dim2-1,Dim2-2,Dim3-1,Dim3-2,Dim3-3,Dim4-1,Dim4-2,Dim4-3
112,0.090488056,0,0.084194382,0,0,0.41566754,0,0.365121809,0,0
113,0.072991712,0,0.056506296,0,0.354416398,0,0,0.314538398,0,0
114,0.069579113,0,0.042541169,0,0,0.40760632,0,0.260673516,0,0
115,0.072747955,0,0.111317404,0,0,0.409977267,0,0.380066215,0,0
116,0.053301555,0,0.10211495,0,0,0.398848951,0,0.348236966,0,0
117,0.064920644,0,0.020100097,0,0,0.399262605,0,0.350969832,0,0
118,0.111694924,0,0.069583468,0,0,0.369489566,0,0.356161261,0,0
119,0.085504577,0,0.044882144,0,0,0.469684771,0,0.335324431,0,0
120,0.076973078,0,0.049671725,0,0.336356845,0,0,0.303952353,0,0
121,0.068251991,0,0.094419331,0,0,0.384532467,0,0.305933427,0,0
122,0.065408158,0,0.078651383,0,0,0.360126849,0,0.318297358,0,0
123,0.045880505,0,0.040469271,0,0.316662853,0,0,0.331534993,0,0
124,0.124153621,0,0.067000323,0,0,0.441556261,0,0.321467075,0,0
125,0.091192243,0,0.057017544,0,0,0.379810752,0,0.335974629,0,0
126,0.109744868,0,0.077951781,0,0,0.412903116,0,0.395152852,0,0
127,0.101673799,0,0.047841998,0,0,0.414164258,0,0.317413494,0,0
128,0.094713179,0,0.04625444,0,0,0.367673522,0,0.31528003,0,0
129,0.061887222,0,0.029033473,0,0.356020571,0,0,0.305323866,0,0
130,0.084773306,0,0.118367237,0,0,0.401815157,0,0.307233824,0,0
131,0.063566437,0,0.092535787,0,0,0.429963845,0,0.360611057,0,0
132,0.080602351,0,0.098159509,0,0,0.408948175,0,0.298923474,0,0
133,0.063485185,0,0.077036917,0,0,0.373081299,0,0.400242687,0,0
134,0.03875738,0,0.144171779,0,0,0.424273572,0,0.267957771,0,0
135,0.046340935,0,0.045689377,0,0.311729266,0,0,0.371491722,0,0
136,0.022588159,0,0.102814552,0,0,0.502696422,0,0.411875144,0,0
137,0.045501327,0,0.071224841,0,0,0,0.799982889,0,0,0.917150489
138,0.078950219,0,0.073108384,0,0,0,0.79425226,0,0,0.916439334
139,0.115378365,0,0.096114519,0,0,0,0.799559145,0,0,0.918308655
140,0.049293104,0,0.055053277,0,0,0,0.802616153,0,0,0.922087934
141,0.102811332,0,0.087638575,0,0,0,0.796956148,0,0,0.926761235
142,0.055549537,0,0.042083737,0,0,0,0.807166353,0,0,0.91744511
143,0.119115974,0,0.077413626,0,0,0,0.811948604,0,0,0.897725809
144,0.109690699,0,0.069260575,0,0,0,0.804997189,0,0,0.905203092
145,0.090813065,0,0.040765257,0,0,0,0.809527211,0,0,0.912568621
146,0.058907968,0,0.129856851,0,0,0,0.791265876,0,0,0.915982163
147,0.120497265,0,0.053250457,0,0,0,0.795816076,0,0,0.890695538
148,0.099967499,0,0.084893983,0,0,0,0.804482643,0,0,0.916297103
149,0.074887601,0,0.05995049,0,0,0,0.782609398,0,0,0.90992719
150,0.021586046,0,0.073807986,0,0,0,0.780218272,0,0,0.915829773
151,0.087508802,0,0.079593155,0,0,0,0.80299954,0,0,0.89206705
152,0.061535128,0,0.07544936,0,0,0,0.800961535,0,0,0.926141515
153,0.021423542,0,0.058282209,0,0,0,0.798943708,0,0,0.909937349
154,0.099804994,0,0.133623937,0,0,0,0.779844974,0,0,0.913086748
